DENGUE - Notificações registradas no Sistema de Informação de Agravos de Notificação - São Paulo;;;;;;;;;;;;;;
Casos Prováveis por Município infecção e Mês 1º Sintoma(s);;;;;;;;;;;;;;
Período:2015;;;;;;;;;;;;;;
Município infecção;Ign/Em Branco;Jan;Fev;Mar;Abr;Mai;Jun;Jul;Ago;Set;Out;Nov;Dez;Total
260770 Itapetim;-;-;-;-;-;-;-;-;-;-;-;-;1;1
260810 João Alfredo;-;-;-;-;-;-;-;-;-;-;-;1;-;1
260880 Lajedo;-;-;-;-;-;-;-;-;1;-;-;-;-;1
260960 Olinda;-;-;-;1;-;-;-;-;-;-;-;-;-;1
261090 Pesqueira;-;1;-;-;-;-;-;-;-;-;-;1;1;3
261160 Recife;-;5;4;4;4;2;-;1;-;1;-;-;1;22
261240 Sanharó;-;-;-;-;-;-;-;-;-;-;-;1;-;1
261300 São Bento do Una;-;-;-;-;-;-;1;-;-;-;-;-;1;2
261460 Tabira;-;-;-;-;-;-;-;1;-;-;-;-;-;1
261540 Toritama;-;-;-;-;-;-;1;-;-;-;-;-;-;1
261600 Venturosa;-;-;-;-;-;1;-;-;-;-;-;-;1;2
261620 Vertentes;-;-;-;1;-;-;-;-;-;-;-;-;-;1
261640 Vitória de Santo Antão;-;-;-;-;-;-;-;-;-;-;1;-;-;1
270030 Arapiraca;-;1;-;-;-;1;-;3;2;1;-;1;-;9
270320 Igreja Nova;-;-;-;1;-;-;-;-;-;-;-;-;-;1
270330 Inhapi;-;-;-;-;-;-;-;-;-;-;1;-;-;1
270430 Maceió;-;1;1;3;2;1;-;4;3;-;-;-;1;16
270440 Major Isidoro;-;-;-;1;-;-;-;-;-;-;-;-;-;1
270630 Palmeira dos Índios;-;-;-;-;-;-;-;-;-;-;-;2;-;2
270800 Santana do Ipanema;-;-;-;-;-;-;-;-;-;-;-;-;1;1
270860 São Miguel dos Campos;-;1;-;-;-;-;-;-;-;-;-;-;-;1
270880 São Sebastião;-;1;-;-;-;-;-;-;-;-;-;-;-;1
270930 União dos Palmares;-;-;1;-;-;-;-;-;-;-;-;-;-;1
280030 Aracaju;-;-;1;-;-;-;-;1;1;-;-;-;-;3
280290 Itabaiana;-;-;-;-;-;-;-;-;-;-;-;-;1;1
280300 Itabaianinha;-;-;1;-;-;-;-;-;-;-;-;-;-;1
280350 Lagarto;-;-;-;-;-;-;-;-;1;-;-;-;-;1
280460 Nossa Senhora das Dores;-;-;-;-;-;-;-;-;-;-;1;-;-;1
290070 Alagoinhas;-;-;1;-;-;-;-;-;-;-;-;-;-;1
290190 Aporá;-;-;-;1;-;-;-;-;-;-;-;-;-;1
290320 Barreiras;-;1;-;-;-;-;-;-;-;-;-;-;-;1
290410 Boquira;-;-;-;-;-;-;1;1;-;-;-;-;-;2
290420 Botuporã;-;-;-;-;-;-;-;1;-;-;-;-;-;1
290460 Brumado;-;-;1;-;-;-;-;-;-;-;-;-;-;1
290470 Buerarema;-;-;-;-;2;-;-;-;-;-;-;-;-;2
290520 Caetité;-;-;-;1;-;-;-;-;-;-;-;-;-;1
290540 Cairu;-;-;-;-;-;-;-;1;-;-;-;-;-;1
290980 Cruz das Almas;-;-;-;-;-;-;-;1;-;-;-;-;-;1
291060 Esplanada;-;-;-;-;-;-;-;1;-;-;-;-;-;1
291070 Euclides da Cunha;-;1;1;-;-;-;-;1;-;-;-;-;-;3
291080 Feira de Santana;-;1;1;1;-;1;-;2;-;-;-;-;1;7
291185 Heliópolis;-;-;-;-;-;1;-;-;-;-;-;-;-;1
291360 Ilhéus;-;1;1;1;-;2;1;-;-;-;-;-;-;6
291400 Ipirá;-;-;-;-;-;1;-;2;2;-;-;-;-;5
291470 Itaberaba;-;-;-;-;-;-;-;2;-;-;-;-;-;2
291480 Itabuna;-;-;-;-;-;1;-;-;-;-;-;-;-;1
291535 Itaguaçu da Bahia;-;-;-;-;1;-;-;-;-;-;-;-;-;1
291570 Itamari;-;-;1;-;-;-;-;-;-;-;-;-;-;1
291680 Itarantim;-;1;-;-;-;-;-;-;-;-;-;-;-;1
291800 Jequié;-;3;-;-;-;-;-;-;-;-;-;-;-;3
291980 Macaúbas;-;4;1;-;-;-;-;1;-;-;-;-;-;6
292130 Milagres;-;-;-;-;-;1;-;-;-;-;-;-;-;1
292150 Monte Santo;-;-;1;-;-;-;-;2;-;-;-;-;-;3
292340 Palmas de Monte Alto;-;-;-;1;-;-;-;-;-;-;-;-;-;1
292360 Paramirim;-;-;-;-;2;-;-;-;-;-;-;-;-;2
292450 Pindaí;-;1;-;-;-;-;-;-;-;-;-;-;-;1
292530 Porto Seguro;-;1;-;1;1;3;1;-;1;-;-;-;-;8
292690 Rio do Pires;-;2;-;-;-;-;-;-;-;-;-;-;-;2
292740 Salvador;-;2;4;5;1;-;2;1;1;2;1;2;1;22
293015 Serra do Ramalho;-;-;-;-;-;-;-;2;-;-;-;-;-;2
293135 Teixeira de Freitas;-;-;1;-;-;-;-;1;-;-;-;-;-;2
293230 Ubatã;-;-;-;-;-;-;1;-;-;-;-;-;-;1
293330 Vitória da Conquista;-;-;-;-;1;-;-;-;-;-;-;-;-;1
293360 Xique-Xique;-;1;-;-;-;-;-;1;-;-;-;-;-;2
310150 Além Paraíba;-;-;-;-;1;-;-;-;-;-;-;-;-;1
310160 Alfenas;-;-;-;-;-;3;-;1;-;-;-;-;-;4
310260 Andradas;-;-;1;-;1;-;-;-;-;-;-;-;-;2
310375 Araporã;-;-;1;-;-;-;-;-;-;-;-;-;-;1
310400 Araxá;-;-;1;-;-;-;-;-;-;-;-;-;-;1
310420 Arcos;-;-;-;2;-;-;-;-;-;-;-;-;-;2
310430 Areado;-;-;-;-;-;-;-;1;-;-;-;-;-;1
310490 Baependi;-;-;-;1;-;-;-;-;-;-;-;-;-;1
310560 Barbacena;-;-;-;-;-;-;-;-;-;-;1;-;-;1
310620 Belo Horizonte;-;4;2;5;5;3;-;-;-;-;-;-;1;20
310650 Berilo;-;-;-;-;-;-;1;-;-;-;-;-;-;1
310670 Betim;-;1;-;1;1;-;-;-;-;-;-;-;-;3
310710 Boa Esperança;-;-;-;-;-;1;-;-;-;-;-;-;-;1
310890 Brazópolis;-;-;-;1;-;-;-;-;-;-;-;-;-;1
310910 Bueno Brandão;-;-;1;-;-;-;-;-;-;-;-;-;-;1
310970 Cachoeira de Minas;-;-;-;-;1;-;-;-;-;-;-;-;-;1
311050 Camanducaia;-;-;1;1;-;-;-;-;-;-;-;-;-;2
311060 Cambuí;-;-;-;-;2;1;-;-;-;-;-;-;-;3
311070 Cambuquira;-;8;1;-;-;-;-;-;-;-;-;-;-;9
311130 Campo do Meio;-;-;-;-;-;-;-;-;-;-;1;-;-;1
311200 Candeias;-;1;-;-;-;-;-;-;-;-;-;-;-;1
311240 Capetinga;-;-;-;-;-;1;-;-;-;-;-;-;-;1
311400 Carmo da Mata;-;-;-;-;1;-;-;-;-;-;-;-;-;1
311430 Carmo do Paranaíba;-;-;-;-;-;1;-;-;-;-;-;-;-;1
311455 Carneirinho;-;2;1;-;-;-;-;-;-;-;-;-;-;3
311510 Cássia;-;-;1;-;1;1;-;-;-;-;-;-;-;3
311530 Cataguases;-;-;-;-;-;1;-;-;-;-;-;-;-;1
311640 Claraval;-;-;-;-;-;1;-;-;-;-;-;-;1;2
311730 Conceição das Alagoas;-;-;-;-;2;-;-;-;-;-;-;-;-;2
311770 Conceição do Rio Verde;-;-;-;-;-;1;-;-;-;-;-;-;-;1
311780 Conceição dos Ouros;-;-;-;1;1;2;-;-;-;-;-;-;-;4
311790 Congonhal;-;1;-;-;-;-;-;-;-;-;-;-;-;1
311860 Contagem;-;-;-;-;-;-;-;-;1;-;-;-;-;1
312120 Delfinópolis;-;1;1;2;1;1;-;-;-;-;-;-;-;6
312320 Dores do Indaiá;-;1;1;-;-;-;-;-;-;-;-;-;-;2
312410 Esmeraldas;-;-;-;-;-;-;-;1;-;-;-;-;-;1
312440 Espírito Santo do Dourado;-;-;1;-;1;-;-;-;-;-;-;-;-;2
312700 Fronteira;-;9;5;1;1;-;1;-;-;-;-;1;-;18
312710 Frutal;-;-;-;2;1;-;-;-;-;-;-;-;-;3
312738 Goianá;-;-;-;1;-;-;-;-;-;-;-;-;-;1
312740 Gonçalves;-;-;-;-;2;-;-;-;-;-;-;-;-;2
312870 Guaxupé;-;-;1;-;1;-;-;-;-;-;-;-;-;2
312970 Ibiraci;-;-;-;-;-;-;-;-;-;-;-;1;1;2
