DENGUE - Notificações registradas no Sistema de Informação de Agravos de Notificação - São Paulo;;;;
Casos Prováveis por Município infecção e Ocorreu hospitalização       ;;;;
Período:2016;;;;
Município infecção;Ign/Branco;Sim;Não;Total
110070 Campo Novo de Rondônia;-;-;1;1
110020 Porto Velho;1;-;2;3
110028 Rolim de Moura;1;-;-;1
110030 Vilhena;-;-;2;2
130260 Manaus;-;-;1;1
140023 Caroebe;-;1;-;1
150140 Belém;2;-;5;7
150420 Marabá;1;-;1;2
150613 Redenção;-;-;1;1
150810 Tucuruí;-;1;-;1
150000 Município ignorado - PA;-;-;1;1
170035 Aliança do Tocantins;-;-;1;1
170200 Araguaçu;-;-;1;1
170600 Couto Magalhães;-;1;-;1
172100 Palmas;1;-;1;2
210530 Imperatriz;1;-;1;2
211130 São Luís;1;-;2;3
221100 Teresina;-;-;1;1
230160 Assaré;-;-;1;1
230360 Catarina;1;-;-;1
230365 Catunda;-;-;1;1
230440 Fortaleza;2;1;9;12
230660 Itatira;1;-;-;1
230670 Jaguaretama;-;-;1;1
230710 Jardim;-;-;1;1
230730 Juazeiro do Norte;-;-;4;4
230765 Maracanaú;-;-;1;1
231190 Saboeiro;-;-;1;1
231230 São Benedito;5;-;1;6
240580 João Câmara;-;-;1;1
240810 Natal;2;-;7;9
240910 Passa e Fica;-;-;1;1
241250 São Miguel;1;-;2;3
250100 Araruna;-;-;1;1
250130 Aroeiras;1;-;-;1
250350 Cacimba de Dentro;1;-;-;1
250430 Catolé do Rocha;-;-;1;1
250750 João Pessoa;2;-;2;4
250970 Monteiro;-;-;1;1
251230 Princesa Isabel;-;-;1;1
251320 Santa Cruz;-;-;1;1
250000 Município ignorado - PB;-;-;3;3
260030 Agrestina;-;1;-;1
260050 Águas Belas;1;-;1;2
260120 Arcoverde;-;-;2;2
260160 Belém do São Francisco;-;-;1;1
260210 Bom Conselho;-;-;1;1
260260 Brejo da Madre de Deus;-;-;1;1
260320 Caetés;-;-;1;1
260330 Calçado;1;-;-;1
260400 Carpina;-;-;1;1
260410 Caruaru;2;-;-;2
260500 Cupira;-;-;2;2
260580 Frei Miguelinho;-;-;1;1
260640 Gravatá;-;-;1;1
260720 Ipojuca;1;-;1;2
260780 Itaquitinga;-;-;1;1
260790 Jaboatão dos Guararapes;-;-;1;1
260810 João Alfredo;1;-;-;1
260840 Jurema;-;-;1;1
260850 Lagoa de Itaenga;1;-;-;1
260960 Olinda;2;-;-;2
261090 Pesqueira;1;-;1;2
261110 Petrolina;2;-;-;2
261120 Poção;-;-;1;1
261160 Recife;7;-;13;20
261300 São Bento do Una;2;-;2;4
261360 São José do Egito;-;-;2;2
261390 Serra Talhada;-;-;1;1
261460 Tabira;-;-;3;3
261480 Tacaratu;-;-;1;1
261550 Tracunhaém;-;-;2;2
261618 Vertente do Lério;1;-;-;1
261640 Vitória de Santo Antão;-;-;1;1
260000 Município ignorado - PE;-;-;2;2
270010 Água Branca;1;-;-;1
270030 Arapiraca;1;-;-;1
270120 Cacimbinhas;1;-;-;1
270135 Campestre;1;-;-;1
270430 Maceió;1;-;1;2
270460 Maravilha;1;-;-;1
270690 Pilar;-;-;1;1
270770 Rio Largo;-;-;1;1
270840 São José da Tapera;-;-;1;1
270850 São Luís do Quitunde;-;1;3;4
270880 São Sebastião;-;-;1;1
270895 Senador Rui Palmeira;-;-;1;1
270910 Taquarana;1;-;-;1
280030 Aracaju;1;-;-;1
280310 Itabi;-;-;1;1
280740 Tobias Barreto;-;-;1;1
290040 Água Fria;-;-;1;1
290280 Barra da Estiva;1;-;-;1
290350 Belo Campo;-;-;1;1
290390 Bom Jesus da Lapa;-;-;1;1
290420 Botuporã;-;-;1;1
290570 Camaçari;-;-;1;1
290720 Casa Nova;1;-;-;1
291080 Feira de Santana;-;-;1;1
291150 Gongogi;-;-;1;1
291170 Guanambi;2;1;-;3
291210 Ibicaraí;1;-;-;1
291360 Ilhéus;-;-;4;4
291480 Itabuna;-;-;2;2
291640 Itapetinga;-;-;1;1
291680 Itarantim;1;-;-;1
291710 Itororó;-;-;2;2
291733 Iuiú;-;-;1;1
291750 Jacobina;1;1;-;2
292010 Mairi;1;-;-;1
292270 Nova Canaã;-;-;1;1
292450 Pindaí;1;-;1;2
292470 Piripá;1;-;-;1
292530 Porto Seguro;2;-;8;10
292670 Rio de Contas;-;-;1;1
292690 Rio do Pires;1;-;-;1
292740 Salvador;2;1;8;11
292860 Santo Amaro;-;-;1;1
292870 Santo Antônio de Jesus;-;-;2;2
293015 Serra do Ramalho;1;-;-;1
293070 Simões Filho;-;-;1;1
293105 Tanque Novo;-;-;1;1
293135 Teixeira de Freitas;1;-;-;1
293180 Tremedal;-;-;1;1
293330 Vitória da Conquista;1;1;6;8
290000 Município ignorado - BA;-;-;2;2
310060 Água Boa;-;-;1;1
310070 Água Comprida;-;-;1;1
310160 Alfenas;2;-;5;7
310190 Alpinópolis;-;-;1;1
310260 Andradas;1;-;-;1
310350 Araguari;-;-;1;1
310360 Arantina;-;-;1;1
310430 Areado;-;-;1;1
310480 Augusto de Lima;-;-;1;1
310490 Baependi;1;-;-;1
310500 Baldim;-;-;1;1
310600 Bela Vista de Minas;2;-;-;2
310620 Belo Horizonte;16;-;46;62
310670 Betim;3;-;-;3
310730 Bocaiúva;1;-;-;1
310750 Bom Jardim de Minas;-;-;1;1
310830 Borda da Mata;1;-;-;1
310860 Brasília de Minas;-;-;1;1
310890 Brazópolis;-;-;1;1
311050 Camanducaia;1;-;-;1
311130 Campo do Meio;-;-;1;1
311270 Capitão Enéas;-;-;1;1
311320 Carandaí;-;-;1;1
311340 Caratinga;1;-;2;3
311455 Carneirinho;1;-;-;1
311530 Cataguases;-;-;2;2
