DENGUE - Notificações registradas no Sistema de Informação de Agravos de Notificação - São Paulo;;;;;;;;;;;;;
Casos Prováveis por Município infecção e Mês 1º Sintoma(s);;;;;;;;;;;;;
Período:2017;;;;;;;;;;;;;
Município infecção;Jan;Fev;Mar;Abr;Mai;Jun;Jul;Ago;Set;Out;Nov;Dez;Total
354970 São José do Rio Pardo;-;-;1;-;-;-;-;1;1;3;5;-;11
354980 São José do Rio Preto;97;67;61;31;19;20;10;16;25;18;12;13;389
354990 São José dos Campos;36;67;66;71;57;21;12;13;12;15;17;26;413
355010 São Manuel;-;1;-;-;-;-;-;-;-;-;-;-;1
355030 São Paulo;12;13;11;85;52;31;35;33;21;47;45;35;420
355040 São Pedro;1;-;-;-;-;-;-;-;1;-;-;-;2
355060 São Roque;-;-;1;-;-;-;-;-;-;-;-;-;1
355070 São Sebastião;-;1;-;1;-;1;-;-;2;-;-;-;5
355080 São Sebastião da Grama;-;-;-;-;-;-;-;-;-;4;4;1;9
355090 São Simão;-;-;-;-;-;-;-;1;4;-;-;-;5
355100 São Vicente;-;2;2;-;-;-;-;-;-;-;2;3;9
355140 Serra Azul;-;-;-;-;-;-;-;-;1;1;-;-;2
355150 Serrana;-;-;-;1;-;-;-;-;-;-;-;-;1
355170 Sertãozinho;1;2;1;-;-;-;1;-;1;1;-;-;7
355180 Sete Barras;-;1;-;-;-;-;-;-;-;-;-;-;1
355190 Severínia;-;-;-;-;-;1;-;-;-;-;-;-;1
355220 Sorocaba;10;15;9;2;1;1;2;5;6;4;6;2;63
355230 Sud Mennucci;-;-;-;-;-;-;-;-;2;2;1;-;5
355240 Sumaré;4;6;10;3;1;1;5;8;6;6;-;-;50
355250 Suzano;1;2;2;-;-;1;1;-;-;2;-;2;11
355260 Tabapuã;-;-;-;1;-;-;-;-;-;-;3;3;7
355310 Taiaçu;-;1;2;7;4;2;-;-;-;-;-;-;16
355320 Taiúva;-;-;-;-;-;-;-;-;1;-;-;-;1
355330 Tambaú;-;-;1;-;2;-;-;-;-;1;3;-;7
355340 Tanabi;-;-;-;2;3;-;-;-;2;2;-;-;9
355360 Tapiratiba;-;-;-;-;-;-;-;-;1;3;1;-;5
355370 Taquaritinga;1;2;-;-;-;-;-;-;1;2;2;4;12
355400 Tatuí;2;-;-;-;-;1;-;-;-;-;-;-;3
355410 Taubaté;9;6;12;9;6;-;-;1;2;1;-;-;46
355430 Teodoro Sampaio;-;2;-;-;-;-;-;1;-;3;1;1;8
355440 Terra Roxa;-;-;-;-;-;-;-;-;-;-;-;1;1
355480 Tremembé;-;-;-;-;-;-;-;-;-;-;2;-;2
355490 Três Fronteiras;1;-;-;-;-;-;-;-;-;-;-;-;1
355500 Tupã;-;2;1;-;-;-;1;-;1;-;-;-;5
355520 Turiúba;-;1;-;-;-;-;-;-;-;-;-;-;1
355540 Ubatuba;2;2;2;2;1;-;1;-;-;1;-;2;13
355550 Ubirajara;-;-;-;-;-;-;-;-;-;-;-;1;1
355560 Uchoa;-;-;-;-;-;-;-;-;1;-;-;-;1
355570 União Paulista;-;-;-;-;1;-;-;-;-;-;-;-;1
355580 Urânia;-;-;-;-;1;-;-;-;1;-;-;1;3
355600 Urupês;-;-;-;-;-;-;-;-;-;1;-;-;1
355610 Valentim Gentil;1;-;1;-;1;-;-;-;-;-;-;1;4
355620 Valinhos;-;-;1;-;-;-;-;-;-;-;-;-;1
355640 Vargem Grande do Sul;-;1;-;-;-;-;-;-;2;3;1;-;7
355670 Vinhedo;-;-;-;-;1;1;-;1;-;1;-;1;5
355680 Viradouro;-;-;-;-;-;-;-;-;-;1;-;-;1
355690 Vista Alegre do Alto;-;-;-;-;-;-;-;-;-;1;-;-;1
355710 Votuporanga;1;4;1;2;5;-;1;1;-;4;1;4;24
355715 Zacarias;-;-;-;-;-;-;-;-;-;1;-;-;1
410045 Altamira do Paraná;1;-;-;-;-;-;-;-;-;-;-;-;1
410360 Cambará;-;-;-;-;-;-;-;-;1;1;-;-;2
410830 Foz do Iguaçu;-;-;-;-;-;-;-;-;1;-;-;-;1
411520 Maringá;-;-;-;-;-;-;-;-;1;-;-;-;1
412650 Sertanópolis;1;-;-;-;-;-;-;-;-;-;-;-;1
420540 Florianópolis;-;-;-;1;-;-;-;-;-;-;-;-;1
500260 Camapuã;1;-;-;-;-;-;-;-;-;-;-;-;1
500500 Jardim;-;-;-;-;-;-;-;-;-;1;-;-;1
500620 Nova Andradina;-;1;-;-;-;-;-;-;-;-;-;-;1
500830 Três Lagoas;-;-;-;-;-;-;-;-;-;1;-;-;1
510706 Querência;1;-;-;-;-;-;-;-;-;-;-;-;1
510790 Sinop;-;1;-;-;-;-;-;-;-;-;-;-;1
510840 Várzea Grande;-;1;-;-;-;-;-;-;-;-;-;-;1
520450 Caldas Novas;1;-;-;-;-;-;-;-;-;-;-;-;1
520860 Goianésia;-;1;-;-;-;-;-;-;-;-;-;-;1
520870 Goiânia;2;-;-;-;1;-;-;-;-;-;-;-;3
521150 Itumbiara;-;-;-;-;-;-;-;-;1;-;-;-;1
521310 Mineiros;-;-;-;1;-;-;-;-;-;-;-;-;1
521460 Niquelândia;-;-;-;-;1;-;-;-;-;-;-;-;1
521930 Santa Helena de Goiás;-;1;-;-;-;-;-;-;-;-;-;-;1
521940 Santa Rita do Araguaia;-;-;-;-;1;-;-;-;-;-;-;-;1
522040 São Simão;-;-;-;-;-;1;-;-;-;-;-;-;1
530010 Brasília;1;-;1;1;-;-;1;-;-;-;-;-;4
000000 Ignorado ou exterior;448;475;460;298;236;182;107;167;274;429;451;409;3936
000000 Total;975;1092;1127;906;628;397;297;401;683;966;939;793;9204
