DENGUE - Notificações registradas no Sistema de Informação de Agravos de Notificação - São Paulo
Casos Prováveis por Município infecção e Faixa Etária
Período:2016
"Município infecção";"Em branco/IGN";"<1 Ano";"1-4";"5-9";"10-14";"15-19";"20-39";"40-59";"60-64";"65-69";"70-79";"80 e +";"Total"
"355060 São Roque";-;-;2;5;6;6;29;14;3;3;1;-;69
"355070 São Sebastião";2;-;-;1;2;4;17;17;1;-;1;-;45
"355080 São Sebastião da Grama";-;-;-;1;-;-;-;-;-;-;-;-;1
"355090 São Simão";1;3;2;10;20;27;141;125;24;18;30;10;411
"355100 São Vicente";-;1;3;3;2;4;22;17;3;1;-;-;56
"355130 Sebastianópolis do Sul";-;-;-;1;-;2;-;1;-;-;-;-;4
"355140 Serra Azul";-;-;-;3;7;6;7;9;3;-;4;-;39
"355160 Serra Negra";-;-;-;2;2;2;5;5;1;-;1;-;18
"355150 Serrana";-;5;12;22;34;33;176;154;21;15;7;3;482
"355170 Sertãozinho";-;24;49;122;193;240;1161;853;150;108;125;50;3075
"355180 Sete Barras";-;-;-;1;-;-;2;-;-;-;-;-;3
"355190 Severínia";-;4;1;-;5;7;11;14;3;-;3;1;49
"355210 Socorro";-;-;-;-;-;2;3;1;1;-;1;-;8
"355220 Sorocaba";-;2;10;27;17;33;143;71;11;7;10;3;334
"355230 Sud Mennucci";-;-;1;1;2;-;6;10;1;1;1;2;25
"355240 Sumaré";-;2;6;11;22;44;223;125;7;4;9;2;455
"355255 Suzanápolis";-;-;2;-;1;2;8;4;-;-;1;-;18
"355250 Suzano";-;10;29;21;28;22;143;72;8;5;7;3;348
"355260 Tabapuã";-;-;-;-;-;1;2;2;1;1;1;-;8
"355270 Tabatinga";-;-;5;7;14;30;86;93;7;11;10;1;264
"355280 Taboão da Serra";-;1;-;-;3;2;15;13;1;-;1;-;36
"355290 Taciba";-;-;-;-;-;-;-;1;-;-;-;-;1
"355300 Taguaí";-;1;-;-;1;-;2;1;-;-;-;-;5
"355310 Taiaçu";-;-;-;-;3;2;4;7;4;1;-;-;21
"355320 Taiúva";-;1;1;4;11;6;43;35;12;3;10;4;130
"355330 Tambaú";-;-;1;-;3;4;8;18;-;1;1;-;36
